Country,State Code,State Name,Town Code,Town Name
aw,,,,-- please select
af,,,,-- please select
af,,,449376752,Bāmīyān
af,,,450096917,Čārīkār
af,,,457693058,Fayzābād
af,,,444984922,Gardez
af,,,444840842,Ġaznī
af,,,447684218,Herāt
af,,,448009044,Jalālābād
af,,,448332917,Kabul
af,,,444048992,Khowst
af,,,448764118,Kūhestān
af,,,437748435,Laškar Gāh
af,,,453372477,Maymanah
af,,,456144710,Mazār-e Šarīf
af,,,453444870,Pol-e H̱umrī
af,,,437820569,Qandahār
af,,,456000574,Shibarghan
af,,,456252953,Tāloqān
ao,,,,-- please select
ao,,,278731340,Benguela
ao,,,304003219,Cabinda
ao,,,297452083,Dundo
ao,,,278047574,Huambo
ao,,,292267324,Luanda
ao,,,270343349,Lubango
ao,,,296587505,Uíge
ai,,,,-- please select
ax,,,,-- please select
al,,,,-- please select
al,,,472052009,Elbasan
al,,,468308015,Gjirokastër
al,,,470288079,Korçë
al,,,475471951,Shkodër
al,,,472807982,Tirana
al,,,469747949,Vlorë
ad,,,,-- please select
ad,,,477054151,Andorra la Vella
ad,,,476910150,Sant Julià de Lòria
ae,,,,-- please select
ae,,,412151437,Abu Dhabi
ae,,,415535543,'Ajmān
ae,,,411251574,al-'Ayn
ae,,,414995533,Dubai
ae,,,416867594,Rā's al-H̱aymah
ae,,,415355541,Sharjah
ar,,,,-- please select
ar,,,184619772,Bahía Blanca
ar,,,199416163,Buenos Aires
ar,,,221519422,Catamarca
ar,,,158915251,Comodoro Rivadavia
ar,,,207084176,Concepción del Uruguay
ar,,,210971581,Córdoba
ar,,,225048119,Corrientes
ar,,,229764182,Formosa
ar,,,236927470,Jujuy
ar,,,198300204,La Plata
ar,,,218135315,La Rioja
ar,,,199524089,Luján
ar,,,10003,Mar de Ajó
ar,,,187212242,Mar del Plata
ar,,,205607117,Mendoza
ar,,,183791194,Neuquén
ar,,,209747948,Paraná
ar,,,201971943,Pergamino
ar,,,225372409,Posadas
ar,,,204743565,Río Cuarto
ar,,,138179076,Río Gallegos
ar,,,205427933,Rosario
ar,,,234767459,Salta
ar,,,210467147,San Juan
ar,,,10004,San Justo
ar,,,204095365,San Luis
ar,,,204959151,San Martín
ar,,,210251931,Santa Fé
ar,,,192179570,Santa Rosa
ar,,,223931572,Santiago del Estero
ar,,,189660085,Tandil
ar,,,227423478,Tucumán
ar,,,10005,Valentín Alsina
ar,,,206615982,Victoria
ar,,,207335674,Villa María
am,,,,-- please select
am,,,469210514,Gavar
am,,,470830383,Gyumri
am,,,470902449,Vanadzor
am,,,468634452,Yerevan
as,,,,-- please select
aq,,,,-- please select
tf,,,,-- please select
ag,,,,-- please select
ag,,,385607815,Saint John's
au,,,,-- please select
au,,,198283860,Adelaide
au,,,214197166,Armidale
au,,,188816384,Ballarat
au,,,276979102,Batchelor
au,,,203720957,Bathurst
au,,,225177302,Brisbane
au,,,196916913,Canberra
au,,,10001,Clayton
au,,,204945143,Cooranbong
au,,,279283085,Darwin
au,,,10002,Fremantle
au,,,186728432,Geelong
au,,,222981344,Gold Coast
au,,,169772729,Hobart
au,,,174812713,Launceston
au,,,220317329,Lismore
au,,,187916496,Melbourne
au,,,205521175,Newcastle
au,,,208973584,Perth
au,,,239901051,Rockhampton
au,,,230865256,Sunshine Coast
au,,,202101121,Sydney
au,,,187052662,Toongabbie
au,,,224817196,Toowoomba
au,,,254696678,Townsville
au,,,200121087,Wollongong
at,,,,-- please select
at,,,492787591,Bad Gleichenberg
at,,,494730974,Dornbirn
at,,,496495670,Eisenstadt
at,,,493507542,Graz
at,,,498151452,Hagenberg im Mühlkreis
at,,,494227152,Hall in Tirol
at,,,494227141,Innsbruck
at,,,494839529,Kapfenberg
at,,,491851431,Klagenfurt
at,,,497935631,Klosterneuburg
at,,,498331559,Krems an der Donau
at,,,495451219,Kufstein
at,,,494587509,Leoben
at,,,497935429,Linz
at,,,496135304,Salzburg
at,,,497575561,Sankt Pölten
at,,,492499350,Spittal an der Drau
at,,,496963441,Steyr
at,,,497611637,Vienna
at,,,491851385,Villach
at,,,497431403,Wels
at,,,496171624,Wiener Neustadt
az,,,,-- please select
az,,,469426986,Baku
az,,,470470635,Gəncə
az,,,463522884,Lənkəran
az,,,465214541,Naxçıvan
az,,,470146964,Sumqayıt
bi,,,,-- please select
bi,,,311888935,Bujumbura
bi,,,311348970,Mwaro
bi,,,313544982,Ngozi
be,,,,-- please select
be,,,508410442,Antwerp
be,,,502866582,Arlon
be,,,508410323,Brugge
be,,,507006433,Brussels
be,,,508230500,Geel
be,,,507798372,Gent
be,,,507366533,Hasselt
be,,,507006327,Kortrijk
be,,,507186470,Leuven
be,,,506322557,Liège
be,,,505638393,Mons
be,,,505710487,Namur
bj,,,,-- please select
bj,,,346914244,Cotonou
bq,,,,-- please select
bq,,,367751172,Kralendijk
bf,,,,-- please select
bf,,,368549847,Ouagadougou
bd,,,,-- please select
bd,,,404415181,Chāţţagām
bd,,,409347039,Dhāka
bd,,,416294864,Dinājpūr
bd,,,406250956,Khulnā
bd,,,408483117,Komīllā
bd,,,410102914,Kushţiyā
bd,,,413127039,Maimansingh
bd,,,406143109,Noākhāli
bd,,,410426924,Pābna
bd,,,404523024,Paţūākhālī
bd,,,411758859,Rājshāhī
bd,,,416690925,Rangpūr
bd,,,416834889,Sa'idpur
bd,,,413667187,Silhaţ
bd,,,411326992,Tangāyal
bg,,,,-- please select
bg,,,475328309,Blagoevgrad
bg,,,477056747,Burgas
bg,,,480908783,Dobrich
bg,,,478460531,Gabrovo
bg,,,480332462,Pleven
bg,,,475760475,Plovdiv
bg,,,481880598,Ruse
bg,,,479828693,Shumen
bg,,,477704331,"Sofia, Sofiya"
bg,,,476732563,Stara Zagora
bg,,,481052535,Svishtov
bg,,,479576790,Varna
bg,,,479144563,Veliko Tyrnovo
bh,,,,-- please select
bh,,,418235055,'Īsā
bh,,,10089,Juffair
bh,,,418379058,Manama
bs,,,,-- please select
bs,,,414226267,Nassau
ba,,,,-- please select
ba,,,485227719,Banja Luka
ba,,,485371587,Bihać
ba,,,480043781,Mostar
ba,,,481879838,Sarajevo
ba,,,10084,Slobomir
ba,,,483247767,Travnik
ba,,,484363867,Tuzla
ba,,,483139791,Zenica
bl,,,,-- please select
by,,,,-- please select
by,,,511652368,Brèst
by,,,512769099,Homjel'
by,,,517232383,Hrodna
by,,,518061033,Mahiljow
by,,,511400927,Mazyr
by,,,518096755,Minsk
by,,,523964866,Navapolack
by,,,522705018,Vicebsk
bz,,,,-- please select
bz,,,387009181,Belize
bz,,,386109121,Belmopan
bm,,,,-- please select
bm,,,440291521,Hamilton
bo,,,,-- please select
bo,,,284339123,Cobija
bo,,,261443383,Cochabamba
bo,,,264611183,El Alto
bo,,,264611185,La Paz
bo,,,259283288,Oruro
bo,,,253559425,Potosí
bo,,,260039679,Santa Cruz
bo,,,255395474,Sucre
bo,,,246503526,Tarija
bo,,,270587509,Trinidad
br,,,,-- please select
br,,,246937405,Alfenas
br,,,284738293,Aracaju
br,,,247656955,Araçatuba
br,,,245713187,Araraquara
br,,,211260590,Bagé
br,,,248809241,Batatais
br,,,243625092,Bauru
br,,,318829150,Belém
br,,,252301606,Belo Horizonte
br,,,227101091,Blumenau
br,,,334199934,Boa Vista
br,,,241645155,Botucatu
br,,,267205209,Brasília
br,,,297986412,Campina Grande
br,,,241537292,Campinas
br,,,250392537,Campo Grande
br,,,216300882,Canoas
br,,,309146175,Cascavel
br,,,218964883,Caxias do Sul
br,,,297986058,Crato
br,,,220765061,Criciúma
br,,,220908638,Cruz Alta
br,,,278402089,Cruz das Almas
br,,,267816391,Cuiabá
br,,,232501071,Curitiba
br,,,243984519,Dourados
br,,,242041669,Duque de Caxias
br,,,224544773,Erechim
br,,,244093325,Espírito Santo do Pinhal
br,,,279914103,Feira de Santana
br,,,224653146,Florianópolis
br,,,310406141,Fortaleza
br,,,250105261,Franca
br,,,266664987,Goiás
br,,,256081803,Governador Valadares
br,,,232644852,Guarapuava
br,,,239557351,Guarulhos
br,,,221808608,Ijuí
br,,,270806095,Ilhéus
br,,,227173132,Itajaí
br,,,243301455,Itajubá
br,,,251797543,Itaúna
br,,,250825221,Ituverava
br,,,242365301,Jaguariúna
br,,,226200850,Joaçaba
br,,,298382514,João Pessoa
br,,,290101950,Juazeiro
br,,,245713664,Juiz de Fora
br,,,247513499,Lavras
br,,,240132882,Londrina
br,,,324156895,Macapá
br,,,289274425,Maceió
br,,,312779998,Manaus
br,,,321277254,Maracanã
br,,,244057005,Marília
br,,,239736807,Maringá
br,,,239341379,Moji das Cruzes
br,,,263821614,Montes Claros
br,,,305330266,Mossoró
br,,,303134478,Natal
br,,,241573687,Niterói
br,,,242149653,Nova Iguaçu
br,,,239305322,Osasco
br,,,250645649,Ouro Preto
br,,,287041169,Palmas
br,,,222312758,Passo Fundo
br,,,209676766,Pelotas
br,,,290245949,Petrolina
br,,,242977680,Petrópolis
br,,,242257236,Piracicaba
br,,,233688984,Ponta Grossa
br,,,215868878,Porto Alegre
br,,,292475609,Porto Velho
br,,,244380861,Presidente Prudente
br,,,294926508,Recife
br,,,247801220,Ribeirão Preto
br,,,288083218,Rio Branco
br,,,241537680,Rio de Janeiro
br,,,226057035,Rio do Sul
br,,,208632789,Rio Grande
br,,,277322150,Salvador
br,,,217056756,Santa Cruz do Sul
br,,,217128617,Santa Maria
br,,,238873347,Santo André
br,,,237793367,Santos
br,,,238657346,São Bernardo do Campo
br,,,239125342,São Caetano do Sul
br,,,244741211,São Carlos
br,,,284378279,São Cristóvão
br,,,249133061,São José do Rio Preto
br,,,240493412,São José dos Campos
br,,,216804885,São Leopoldo
br,,,315013570,São Luís
br,,,239305337,São Paulo
br,,,242113628,Seropédica
br,,,310729965,Sobral
br,,,279337356,Taguatinga
br,,,241141444,Taubaté
